 Loading config:../cfg/test1.csv                                                                
 Reading configuration from file '../cfg/test1.csv                                                                '
 NPTS=        1800
 RANDOMSEED=   0.0000000000000000     
 Read           0  events from ../cfg/test1.csv                                                                .
 TEINIT> Init...
 Random number generation: seed=   0.0000000000000000     
 Saving output in ../out/all.csv                                                                  
 Saving original TE output in folder '../out/'
 Starting simulation...
 SETPOINT  9 CHANGE:   230.31000-->   230.34632
 SETPOINT  4 CHANGE:     9.34770-->    10.36431
 SETPOINT 10 CHANGE:    94.59900-->    96.30225
 SETPOINT  9 CHANGE:   230.34632-->   230.34706
 SETPOINT  4 CHANGE:    10.36431-->    10.36527
 SETPOINT 10 CHANGE:    96.30225-->    96.30746
 SETPOINT  9 CHANGE:   230.34706-->   230.34970
 SETPOINT  4 CHANGE:    10.36527-->    10.36640
 SETPOINT 10 CHANGE:    96.30746-->    96.32472
 SETPOINT  9 CHANGE:   230.34970-->   230.35443
 SETPOINT  4 CHANGE:    10.36640-->    10.36781
 SETPOINT 10 CHANGE:    96.32472-->    96.35896
 SETPOINT  9 CHANGE:   230.35443-->   230.36023
 SETPOINT  4 CHANGE:    10.36781-->    10.36945
 SETPOINT 10 CHANGE:    96.35896-->    96.39254
 SETPOINT  9 CHANGE:   230.36023-->   230.36643
 SETPOINT  4 CHANGE:    10.36945-->    10.37123
 SETPOINT 10 CHANGE:    96.39254-->    96.41045
 SETPOINT  9 CHANGE:   230.36643-->   230.37279
 SETPOINT  4 CHANGE:    10.37123-->    10.37313
 SETPOINT 10 CHANGE:    96.41045-->    96.40349
 SETPOINT  9 CHANGE:   230.37279-->   230.37924
 SETPOINT  4 CHANGE:    10.37313-->    10.37513
 SETPOINT 10 CHANGE:    96.40349-->    96.36743
 SETPOINT  9 CHANGE:   230.37924-->   230.38576
 SETPOINT  4 CHANGE:    10.37513-->    10.37721
 SETPOINT 10 CHANGE:    96.36743-->    96.30140
 SETPOINT  9 CHANGE:   230.38576-->   230.39238
 SETPOINT  4 CHANGE:    10.37721-->    10.37938
 SETPOINT 10 CHANGE:    96.30140-->    96.20689
 SETPOINT  9 CHANGE:   230.39238-->   230.39908
 SETPOINT  4 CHANGE:    10.37938-->    10.38164
 SETPOINT 10 CHANGE:    96.20689-->    96.08688
